count,behav_recall_instructions.thisRepN,behav_recall_instructions.thisTrialN,behav_recall_instructions.thisN,behav_recall_instructions.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_13.thisRepN,trials_13.thisTrialN,trials_13.thisN,trials_13.thisIndex,trials_17.thisRepN,trials_17.thisTrialN,trials_17.thisN,trials_17.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_8.thisRepN,trials_8.thisTrialN,trials_8.thisN,trials_8.thisIndex,story_list_block1,action_list_block1,text_76.started,text_76.stopped,key_resp_30.keys,key_resp_30.rt,key_resp_30.started,key_resp_30.stopped,textTrigger.started,textTrigger.stopped,getTrigger.keys,getTrigger.rt,getTrigger.started,getTrigger.stopped,triggerTime,text_77.started,text_77.stopped,text_78.started,text_78.stopped,waitStart,image_23.started,image_23.stopped,waitEnd,text_41.started,text_41.stopped,key_resp_26.keys,key_resp_26.rt,key_resp_26.started,key_resp_26.stopped,text_42.started,text_42.stopped,text_51.started,text_51.stopped,recall_StartTime,recall_EndTime,image_18.started,image_18.stopped,text_69.started,text_69.stopped,recall_audio.filename,recall_audio.started,recall_audio.stopped,key_resp_25.keys,key_resp_25.rt,key_resp_25.started,key_resp_25.stopped,text_80.started,text_80.stopped,text_36.started,text_36.stopped,participant,sA,sB,lA,lB,block_struct,block,behavioral,random_seed,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[31 42 11 22 13 33 44 24],[4 4 1 1 3 2 2 3],12.258368988000257,None,space,3.2429314760001944,12.258368988000257,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,013021,0,1,2,3,1,1,0,12,2021_Jan_30_1128,recall_fmri,3.2.4,59.71743976776648,
0,,,,,0,0,0,0,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,15.525248855000427,None,equal,19.212847486999635,15.525248855000427,None,22.495265663000282,15.525248855000427,None,15.525248855000427,None,0.0003223100002287538,34.759245829000065,None,6.000106405999759,40.77552931000082,None,7,1.7514350659994307,40.77552931000082,None,40.77552931000082,None,40.77552931000082,None,7.800818488000004,134.01559222200012,42.64267105300041,None,42.64267105300041,None,/Users/columbiadpml/Documents/GitHub/ebs/fMRI experiment/psychopy code/data/013021_bk1_recall_fmri_wav/recall_audio-1612024159.617.wav,0.00911673400150903,None,7,126.11528107100003,42.64267105300041,None,42.64267105300041,None,,,013021,0,1,2,3,1,1,0,12,2021_Jan_30_1128,recall_fmri,3.2.4,59.71743976776648,
0,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,134.01966909200019,168.77551766800025,None,140.0172410770001,,,,,,,,,,,,,,,,,,,,,,,,,,,,013021,0,1,2,3,1,1,0,12,2021_Jan_30_1128,recall_fmri,3.2.4,59.71743976776648,
1,,,,,0,0,0,0,0,1,1,1,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174.7755591060004,None,7,1.6405382209995878,174.7755591060004,None,174.7755591060004,None,174.7755591060004,None,141.68396158300038,278.6500076450002,176.45853863400043,None,176.45853863400043,None,/Users/columbiadpml/Documents/GitHub/ebs/fMRI experiment/psychopy code/data/013021_bk1_recall_fmri_wav/recall_audio-1612024293.445.wav,0.014172018600220326,None,7,136.92657588699967,176.45853863400043,None,176.45853863400043,None,,,013021,0,1,2,3,1,1,0,12,2021_Jan_30_1128,recall_fmri,3.2.4,59.71743976776648,
1,,,,,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,278.6535074270005,313.4092850250008,None,284.65045833299973,,,,,,,,,,,,,,,,,,,,,,,,,,,,013021,0,1,2,3,1,1,0,12,2021_Jan_30_1128,recall_fmri,3.2.4,59.71743976776648,
2,,,,,0,0,0,0,0,2,2,2,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,319.40985318500043,None,7,1.389149319000353,319.40985318500043,None,319.40985318500043,None,319.40985318500043,None,286.0687254690001,409.11685648,320.8397278680004,None,320.8397278680004,None,/Users/columbiadpml/Documents/GitHub/ebs/fMRI experiment/psychopy code/data/013021_bk1_recall_fmri_wav/recall_audio-1612024437.831.wav,0.013120855599481729,None,7,123.01036981500056,320.8397278680004,None,320.8397278680004,None,,,013021,0,1,2,3,1,1,0,12,2021_Jan_30_1128,recall_fmri,3.2.4,59.71743976776648,
2,,,,,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,409.12083259500014,443.8762507250003,None,415.1170096599999,,,,,,,,,,,,,,,,,,,,,,,,,,,,013021,0,1,2,3,1,1,0,12,2021_Jan_30_1128,recall_fmri,3.2.4,59.71743976776648,
3,,,,,0,0,0,0,0,3,3,3,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,449.8875852000001,None,7,2.696504103000734,449.8875852000001,None,449.8875852000001,None,449.8875852000001,None,417.8453607000001,535.6001183939998,452.62128166100047,None,452.62128166100047,None,/Users/columbiadpml/Documents/GitHub/ebs/fMRI experiment/psychopy code/data/013021_bk1_recall_fmri_wav/recall_audio-1612024569.607.wav,0.013577117600107158,None,7,117.71978073900027,452.62128166100047,None,452.62128166100047,None,,,013021,0,1,2,3,1,1,0,12,2021_Jan_30_1128,recall_fmri,3.2.4,59.71743976776648,
3,,,,,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,535.6039320090003,570.3598696200006,None,541.600395075,,,,,,,,,,,,,,,,,,,,,,,,,,,,013021,0,1,2,3,1,1,0,12,2021_Jan_30_1128,recall_fmri,3.2.4,59.71743976776648,
4,,,,,0,0,0,0,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,541.6044421440001,576.3697952300008,576.3697952300008,547.6096601859999,,,,,,,,,,,,,,,,,,,,,,,,,,,,013021,0,1,2,3,1,1,0,12,2021_Jan_30_1128,recall_fmri,3.2.4,59.71743976776648,
5,,,,,0,0,0,0,0,5,5,5,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,582.369325095,None,7,1.526777906999996,582.369325095,None,582.369325095,None,582.369325095,None,549.1687893959997,596.134590009,583.9358120240004,None,583.9358120240004,None,/Users/columbiadpml/Documents/GitHub/ebs/fMRI experiment/psychopy code/data/013021_bk1_recall_fmri_wav/recall_audio-1612024700.930.wav,0.014551655600371305,None,7,46.93227325599946,583.9358120240004,None,583.9358120240004,None,,,013021,0,1,2,3,1,1,0,12,2021_Jan_30_1128,recall_fmri,3.2.4,59.71743976776648,
5,,,,,0,0,0,0,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,596.1385471490003,630.9015989580002,None,602.1586105060005,,,,,,,,,,,,,,,,,,,,,,,,,,,,013021,0,1,2,3,1,1,0,12,2021_Jan_30_1128,recall_fmri,3.2.4,59.71743976776648,
6,,,,,0,0,0,0,0,6,6,6,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,636.918824548,None,7,0.9183253449991753,636.918824548,None,636.918824548,None,636.918824548,None,603.1021715249999,685.3413071699997,637.8769988290005,None,637.8769988290005,None,/Users/columbiadpml/Documents/GitHub/ebs/fMRI experiment/psychopy code/data/013021_bk1_recall_fmri_wav/recall_audio-1612024754.865.wav,0.012228786599735031,None,7,82.1860000480001,637.8769988290005,None,637.8769988290005,None,,,013021,0,1,2,3,1,1,0,12,2021_Jan_30_1128,recall_fmri,3.2.4,59.71743976776648,
6,,,,,0,0,0,0,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,685.345636479,720.1003507670002,None,691.3503167890003,,,,,,,,,,,,,,,,,,,,,,,,,,,,013021,0,1,2,3,1,1,0,12,2021_Jan_30_1128,recall_fmri,3.2.4,59.71743976776648,
7,,,,,0,0,0,0,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,691.3542502400005,726.1103384020007,None,697.3577641450001,,,,,,,,,,,,,,,,,,,,,,,,,,,,013021,0,1,2,3,1,1,0,12,2021_Jan_30_1128,recall_fmri,3.2.4,59.71743976776648,
,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,013021,0,1,2,3,1,1,0,12,2021_Jan_30_1128,recall_fmri,3.2.4,59.71743976776648,
,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,732.1107222610008,None,013021,0,1,2,3,1,1,0,12,2021_Jan_30_1128,recall_fmri,3.2.4,59.71743976776648,
,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,732.6107212900006,732.6107212900006,013021,0,1,2,3,1,1,0,12,2021_Jan_30_1128,recall_fmri,3.2.4,59.71743976776648,
,,,,,,,,,,,,,,,,,,,,,,,,,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,733.1106761740002,733.1106761740002,013021,0,1,2,3,1,1,0,12,2021_Jan_30_1128,recall_fmri,3.2.4,59.71743976776648,
,,,,,,,,,,,,,,,,,,,,,,,,,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,733.6106549750002,None,013021,0,1,2,3,1,1,0,12,2021_Jan_30_1128,recall_fmri,3.2.4,59.71743976776648,
,,,,,,,,,,,,,,,,,,,,,,,,,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,734.1106562340001,None,013021,0,1,2,3,1,1,0,12,2021_Jan_30_1128,recall_fmri,3.2.4,59.71743976776648,
