count,behav_recall_instructions.thisRepN,behav_recall_instructions.thisTrialN,behav_recall_instructions.thisN,behav_recall_instructions.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_13.thisRepN,trials_13.thisTrialN,trials_13.thisN,trials_13.thisIndex,trials_17.thisRepN,trials_17.thisTrialN,trials_17.thisN,trials_17.thisIndex,story_list_block1,action_list_block1,text_76.started,text_76.stopped,key_resp_30.keys,key_resp_30.rt,key_resp_30.started,key_resp_30.stopped,textTrigger.started,textTrigger.stopped,getTrigger.keys,getTrigger.rt,getTrigger.started,getTrigger.stopped,triggerTime,text_77.started,text_77.stopped,text_78.started,text_78.stopped,text_81.started,text_81.stopped,text_82.started,text_82.stopped,waitStart,image_23.started,image_23.stopped,waitEnd,text_41.started,text_41.stopped,key_resp_26.keys,key_resp_26.rt,key_resp_26.started,key_resp_26.stopped,text_42.started,text_42.stopped,text_51.started,text_51.stopped,recall_StartTime,recall_EndTime,image_18.started,image_18.stopped,text_69.started,text_69.stopped,recall_audio.filename,recall_audio.started,recall_audio.stopped,key_resp_25.keys,key_resp_25.rt,key_resp_25.started,key_resp_25.stopped,text_80.started,text_80.stopped,participant,sA,sB,lA,lB,block_struct,block,behavioral,random_seed,part,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,[31 21 32 41 42 12 11 22],[4 1 2 1 3 2 4 3],13.498432988999411,None,space,140.49195388299995,13.498432988999411,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,022122,1,3,1,3,3,1,0,58,1,2022_Feb_21_1255,recall_fmri,3.2.4,60.178219361219355,
0,,,,,0,0,0,0,0,0,0,0,,,,,0,0,0,0,,,,,,,,,154.0298964149997,None,equal,34.972913561000496,154.0298964149997,None,175.53660796700024,154.0298964149997,None,154.0298964149997,None,154.0298964149997,None,154.0298964149997,None,0.0008127860000968212,189.03228702999968,None,5.999367008000263,195.04509467200023,None,1,1.5767013209997458,195.04509467200023,None,195.04509467200023,None,195.04509467200023,None,7.616743388999566,113.01642090299993,196.7458666749999,None,196.7458666749999,None,/Users/columbiadpml/Documents/GitHub/ebs/fMRI experiment/psychopy code/data/022122_bk1_pt1_recall_fmri_wav/recall_audio-1645466339.723.wav,0.009470465000958939,None,1,105.2739301370002,196.7458666749999,None,196.7458666749999,None,022122,1,3,1,3,3,1,0,58,1,2022_Feb_21_1255,recall_fmri,3.2.4,60.178219361219355,
﻿count,behav_recall_instructions.thisRepN,behav_recall_instructions.thisTrialN,behav_recall_instructions.thisN,behav_recall_instructions.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_13.thisRepN,trials_13.thisTrialN,trials_13.thisN,trials_13.thisIndex,trials_17.thisRepN,trials_17.thisTrialN,trials_17.thisN,trials_17.thisIndex,story_list_block1,action_list_block1,text_76.started,text_76.stopped,key_resp_30.keys,key_resp_30.rt,key_resp_30.started,key_resp_30.stopped,textTrigger.started,textTrigger.stopped,getTrigger.keys,getTrigger.rt,getTrigger.started,getTrigger.stopped,triggerTime,text_77.started,text_77.stopped,text_78.started,text_78.stopped,text_81.started,text_81.stopped,text_82.started,text_82.stopped,waitStart,image_23.started,image_23.stopped,waitEnd,text_41.started,text_41.stopped,key_resp_26.keys,key_resp_26.rt,key_resp_26.started,key_resp_26.stopped,text_42.started,text_42.stopped,text_51.started,text_51.stopped,recall_StartTime,recall_EndTime,image_18.started,image_18.stopped,text_69.started,text_69.stopped,recall_audio.filename,recall_audio.started,recall_audio.stopped,key_resp_25.keys,key_resp_25.rt,key_resp_25.started,key_resp_25.stopped,text_80.started,text_80.stopped,participant,sA,sB,lA,lB,block_struct,block,behavioral,random_seed,part,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,[31 21 32 41 42 12 11 22],[4 1 2 1 3 2 4 3],13.498432988999411,None,space,140.49195388299995,13.498432988999411,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,022122,1,3,1,3,3,1,0,58,1,2022_Feb_21_1255,recall_fmri,3.2.4,60.178219361219355,
0,,,,,0,0,0,0,0,0,0,0,,,,,0,0,0,0,,,,,,,,,154.0298964149997,None,equal,34.972913561000496,154.0298964149997,None,175.53660796700024,154.0298964149997,None,154.0298964149997,None,154.0298964149997,None,154.0298964149997,None,0.0008127860000968212,189.03228702999968,None,5.999367008000263,195.04509467200023,None,1,1.5767013209997458,195.04509467200023,None,195.04509467200023,None,195.04509467200023,None,7.616743388999566,113.01642090299993,196.7458666749999,None,196.7458666749999,None,/Users/columbiadpml/Documents/GitHub/ebs/fMRI experiment/psychopy code/data/022122_bk1_pt1_recall_fmri_wav/recall_audio-1645466339.723.wav,0.009470465000958939,None,1,105.2739301370002,196.7458666749999,None,196.7458666749999,None,022122,1,3,1,3,3,1,0,58,1,2022_Feb_21_1255,recall_fmri,3.2.4,60.178219361219355,
0,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113.0196276380002,302.04952033599966,None,119.01610914899993,,,,,,,,,,,,,,,,,,,,,,,,,,022122,1,3,1,3,3,1,0,58,1,2022_Feb_21_1255,recall_fmri,3.2.4,60.178219361219355,
1,,,,,0,0,0,0,0,1,1,1,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,308.04984853399947,None,1,1.8609590679998291,308.04984853399947,None,308.04984853399947,None,308.04984853399947,None,120.90066950900018,270.04285021800024,309.9442747869998,None,309.9442747869998,None,/Users/columbiadpml/Documents/GitHub/ebs/fMRI experiment/psychopy code/data/022122_bk1_pt1_recall_fmri_wav/recall_audio-1645466452.937.wav,0.013061360999927274,None,1,149.09040754700072,309.9442747869998,None,309.9442747869998,None,022122,1,3,1,3,3,1,0,58,1,2022_Feb_21_1255,recall_fmri,3.2.4,60.178219361219355,
﻿count,behav_recall_instructions.thisRepN,behav_recall_instructions.thisTrialN,behav_recall_instructions.thisN,behav_recall_instructions.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_13.thisRepN,trials_13.thisTrialN,trials_13.thisN,trials_13.thisIndex,trials_17.thisRepN,trials_17.thisTrialN,trials_17.thisN,trials_17.thisIndex,story_list_block1,action_list_block1,text_76.started,text_76.stopped,key_resp_30.keys,key_resp_30.rt,key_resp_30.started,key_resp_30.stopped,textTrigger.started,textTrigger.stopped,getTrigger.keys,getTrigger.rt,getTrigger.started,getTrigger.stopped,triggerTime,text_77.started,text_77.stopped,text_78.started,text_78.stopped,text_81.started,text_81.stopped,text_82.started,text_82.stopped,waitStart,image_23.started,image_23.stopped,waitEnd,text_41.started,text_41.stopped,key_resp_26.keys,key_resp_26.rt,key_resp_26.started,key_resp_26.stopped,text_42.started,text_42.stopped,text_51.started,text_51.stopped,recall_StartTime,recall_EndTime,image_18.started,image_18.stopped,text_69.started,text_69.stopped,recall_audio.filename,recall_audio.started,recall_audio.stopped,key_resp_25.keys,key_resp_25.rt,key_resp_25.started,key_resp_25.stopped,text_80.started,text_80.stopped,participant,sA,sB,lA,lB,block_struct,block,behavioral,random_seed,part,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,[31 21 32 41 42 12 11 22],[4 1 2 1 3 2 4 3],13.498432988999411,None,space,140.49195388299995,13.498432988999411,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,022122,1,3,1,3,3,1,0,58,1,2022_Feb_21_1255,recall_fmri,3.2.4,60.178219361219355,
