count,behav_recall_instructions.thisRepN,behav_recall_instructions.thisTrialN,behav_recall_instructions.thisN,behav_recall_instructions.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_13.thisRepN,trials_13.thisTrialN,trials_13.thisN,trials_13.thisIndex,trials_17.thisRepN,trials_17.thisTrialN,trials_17.thisN,trials_17.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_8.thisRepN,trials_8.thisTrialN,trials_8.thisN,trials_8.thisIndex,story_list_block1,action_list_block1,text_76.started,text_76.stopped,key_resp_30.keys,key_resp_30.rt,key_resp_30.started,key_resp_30.stopped,textTrigger.started,textTrigger.stopped,getTrigger.keys,getTrigger.rt,getTrigger.started,getTrigger.stopped,triggerTime,text_77.started,text_77.stopped,text_78.started,text_78.stopped,text_81.started,text_81.stopped,text_82.started,text_82.stopped,waitStart,image_23.started,image_23.stopped,waitEnd,text_41.started,text_41.stopped,key_resp_26.keys,key_resp_26.rt,key_resp_26.started,key_resp_26.stopped,text_42.started,text_42.stopped,text_51.started,text_51.stopped,recall_StartTime,recall_EndTime,image_18.started,image_18.stopped,text_69.started,text_69.stopped,recall_audio.filename,recall_audio.started,recall_audio.stopped,key_resp_25.keys,key_resp_25.rt,key_resp_25.started,key_resp_25.stopped,text_80.started,text_80.stopped,text_36.started,text_36.stopped,participant,sA,sB,lA,lB,block_struct,block,behavioral,random_seed,part,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[31 33 42 22 13 24 44 11],[2 4 3 3 4 1 1 2],12.274475432000145,None,space,0.9627276189994518,12.274475432000145,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,022222,1,3,0,1,1,1,0,50,2,2022_Feb_22_1052,recall_fmri,3.2.4,59.90449653747151,
3,,,,,0,0,0,0,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,13.257514279999668,None,equal,25.794630252999923,13.257514279999668,None,26.796261575000244,13.257514279999668,None,13.257514279999668,None,13.257514279999668,None,13.257514279999668,None,0.0008390759994654218,39.073598345999926,None,6.0002551709994805,45.07956060499964,None,3,2.294689228000607,45.07956060499964,None,45.07956060499964,None,45.07956060499964,None,8.324436936999518,105.3676898449994,47.507552393999504,None,47.507552393999504,None,/Users/columbiadpml/Documents/GitHub/ebs/fMRI experiment/psychopy code/data/022222_bk1_pt2_recall_fmri_wav/recall_audio-1645545193.491.wav,0.006330564599920763,None,2,96.90559302399924,47.507552393999504,None,47.507552393999504,None,,,022222,1,3,0,1,1,1,0,50,2,2022_Feb_22_1052,recall_fmri,3.2.4,59.90449653747151,
3,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105.37134295099986,144.44042631899993,None,111.36685587600005,,,,,,,,,,,,,,,,,,,,,,,,,,,,022222,1,3,0,1,1,1,0,50,2,2022_Feb_22_1052,recall_fmri,3.2.4,59.90449653747151,
4,,,,,0,0,0,0,0,1,1,1,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150.44572840599994,None,2,1.1545403370000713,150.44572840599994,None,150.44572840599994,None,150.44572840599994,None,112.55214615299974,194.91746389799937,151.64165273199978,None,151.64165273199978,None,/Users/columbiadpml/Documents/GitHub/ebs/fMRI experiment/psychopy code/data/022222_bk1_pt2_recall_fmri_wav/recall_audio-1645545297.630.wav,0.011342405599862104,None,2,82.32658495800024,151.64165273199978,None,151.64165273199978,None,,,022222,1,3,0,1,1,1,0,50,2,2022_Feb_22_1052,recall_fmri,3.2.4,59.90449653747151,
4,,,,,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,194.92057589500018,233.99028986899975,None,200.9164872020001,,,,,,,,,,,,,,,,,,,,,,,,,,,,022222,1,3,0,1,1,1,0,50,2,2022_Feb_22_1052,recall_fmri,3.2.4,59.90449653747151,
5,,,,,0,0,0,0,0,2,2,2,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,239.9907415990001,None,2,1.4575240970007144,239.9907415990001,None,239.9907415990001,None,239.9907415990001,None,202.40141582599972,300.8170222789995,241.49115634600003,None,241.49115634600003,None,/Users/columbiadpml/Documents/GitHub/ebs/fMRI experiment/psychopy code/data/022222_bk1_pt2_recall_fmri_wav/recall_audio-1645545387.477.wav,0.013649578599142842,None,2,98.36906704199919,241.49115634600003,None,241.49115634600003,None,,,022222,1,3,0,1,1,1,0,50,2,2022_Feb_22_1052,recall_fmri,3.2.4,59.90449653747151,
5,,,,,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300.82065532100023,339.89133596899956,None,306.8172600019998,,,,,,,,,,,,,,,,,,,,,,,,,,,,022222,1,3,0,1,1,1,0,50,2,2022_Feb_22_1052,recall_fmri,3.2.4,59.90449653747151,
,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,022222,1,3,0,1,1,1,0,50,2,2022_Feb_22_1052,recall_fmri,3.2.4,59.90449653747151,
,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,345.8904426469999,None,022222,1,3,0,1,1,1,0,50,2,2022_Feb_22_1052,recall_fmri,3.2.4,59.90449653747151,
,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346.39079838399994,346.39079838399994,022222,1,3,0,1,1,1,0,50,2,2022_Feb_22_1052,recall_fmri,3.2.4,59.90449653747151,
