count,behav_recall_instructions.thisRepN,behav_recall_instructions.thisTrialN,behav_recall_instructions.thisN,behav_recall_instructions.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_20.thisRepN,trials_20.thisTrialN,trials_20.thisN,trials_20.thisIndex,trials_18.thisRepN,trials_18.thisTrialN,trials_18.thisN,trials_18.thisIndex,trials_19.thisRepN,trials_19.thisTrialN,trials_19.thisN,trials_19.thisIndex,trials_8.thisRepN,trials_8.thisTrialN,trials_8.thisN,trials_8.thisIndex,story_list_block2,action_list_block2,text_76.started,text_76.stopped,key_resp_30.keys,key_resp_30.rt,key_resp_30.started,key_resp_30.stopped,textTrigger.started,textTrigger.stopped,getTrigger.keys,getTrigger.rt,getTrigger.started,getTrigger.stopped,triggerTime,text_77.started,text_77.stopped,text_78.started,text_78.stopped,text_81.started,text_81.stopped,text_82.started,text_82.stopped,waitStart,image_23.started,image_23.stopped,waitEnd,text_41.started,text_41.stopped,key_resp_26.keys,key_resp_26.rt,key_resp_26.started,key_resp_26.stopped,text_42.started,text_42.stopped,text_51.started,text_51.stopped,recall_StartTime,recall_EndTime,image_20.started,image_20.stopped,text_75.started,text_75.stopped,recall_audio_2.filename,recall_audio_2.started,recall_audio_2.stopped,key_resp_27.keys,key_resp_27.rt,key_resp_27.started,key_resp_27.stopped,text_79.started,text_79.stopped,text_36.started,text_36.stopped,participant,sA,sB,lA,lB,block_struct,block,behavioral,random_seed,part,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[33 13 23 44 24 43 34 14],[2 2 3 1 1 3 4 4],9.751179237999168,None,space,1.6654267190006067,9.751179237999168,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,030422,1,3,0,2,3,2,0,52,1,2022_Mar_04_1257,recall_fmri,3.2.4,59.918891511357934,
0,,,,,,,,,0,0,0,0,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,11.43668494099984,None,equal,20.937913698000557,11.43668494099984,None,22.647528254999997,11.43668494099984,None,11.43668494099984,None,11.43668494099984,None,11.43668494099984,None,0.0006771970001864247,32.403614412000024,None,5.999556674001724,38.4188171450005,None,1,1.0058695989991975,38.4188171450005,None,38.4188171450005,None,38.4188171450005,None,7.050624488001631,203.06661457300106,39.521486775000085,None,39.521486775000085,None,/Users/columbiadpml/Documents/GitHub/ebs/fMRI experiment/psychopy code/data/030422_bk2_pt1_recall_fmri_wav/recall_audio_2-1646416702.509.wav,0.012652673498450895,None,1,195.93322098800127,39.521486775000085,None,39.521486775000085,None,,,030422,1,3,0,2,3,2,0,52,1,2022_Mar_04_1257,recall_fmri,3.2.4,59.918891511357934,
0,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,203.06941408900093,235.47056529099973,None,209.07738987300036,,,,,,,,,,,,,,,,,,,,,,,,,,,,030422,1,3,0,2,3,2,0,52,1,2022_Mar_04_1257,recall_fmri,3.2.4,59.918891511357934,
1,,,,,,,,,0,0,0,0,0,1,1,1,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,241.48284181000054,None,1,0.9527619279997452,241.48284181000054,None,241.48284181000054,None,241.48284181000054,None,210.06225588900088,321.10970453700065,242.48249590900014,None,242.48249590900014,None,/Users/columbiadpml/Documents/GitHub/ebs/fMRI experiment/psychopy code/data/030422_bk2_pt1_recall_fmri_wav/recall_audio_2-1646416905.467.wav,0.01552293520035164,None,1,111.00301743199998,242.48249590900014,None,242.48249590900014,None,,,030422,1,3,0,2,3,2,0,52,1,2022_Mar_04_1257,recall_fmri,3.2.4,59.918891511357934,
1,,,,,,,,,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,321.11263942500045,353.514879847,None,327.11589002500114,,,,,,,,,,,,,,,,,,,,,,,,,,,,030422,1,3,0,2,3,2,0,52,1,2022_Mar_04_1257,recall_fmri,3.2.4,59.918891511357934,
2,,,,,,,,,0,0,0,0,0,2,2,2,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359.5215610340001,None,1,1.125089774001026,359.5215610340001,None,359.5215610340001,None,359.5215610340001,None,328.2774704480016,471.0830274480013,360.6872085159994,None,360.6872085159994,None,/Users/columbiadpml/Documents/GitHub/ebs/fMRI experiment/psychopy code/data/030422_bk2_pt1_recall_fmri_wav/recall_audio_2-1646417023.681.wav,0.0002572580997366458,None,1,142.78235511999992,360.6872085159994,None,360.6872085159994,None,,,030422,1,3,0,2,3,2,0,52,1,2022_Mar_04_1257,recall_fmri,3.2.4,59.918891511357934,
2,,,,,,,,,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,471.0865308850007,503.4876931939998,None,477.0834697550017,,,,,,,,,,,,,,,,,,,,,,,,,,,,030422,1,3,0,2,3,2,0,52,1,2022_Mar_04_1257,recall_fmri,3.2.4,59.918891511357934,
,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,030422,1,3,0,2,3,2,0,52,1,2022_Mar_04_1257,recall_fmri,3.2.4,59.918891511357934,
,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,509.4963572199995,None,030422,1,3,0,2,3,2,0,52,1,2022_Mar_04_1257,recall_fmri,3.2.4,59.918891511357934,
,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,510.004861505,None,030422,1,3,0,2,3,2,0,52,1,2022_Mar_04_1257,recall_fmri,3.2.4,59.918891511357934,
