count,behav_recall_instructions.thisRepN,behav_recall_instructions.thisTrialN,behav_recall_instructions.thisN,behav_recall_instructions.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_13.thisRepN,trials_13.thisTrialN,trials_13.thisN,trials_13.thisIndex,trials_17.thisRepN,trials_17.thisTrialN,trials_17.thisN,trials_17.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_8.thisRepN,trials_8.thisTrialN,trials_8.thisN,trials_8.thisIndex,story_list_block1,action_list_block1,text_76.started,text_76.stopped,key_resp_30.keys,key_resp_30.rt,key_resp_30.started,key_resp_30.stopped,textTrigger.started,textTrigger.stopped,getTrigger.keys,getTrigger.rt,getTrigger.started,getTrigger.stopped,triggerTime,text_77.started,text_77.stopped,text_78.started,text_78.stopped,text_81.started,text_81.stopped,text_82.started,text_82.stopped,waitStart,image_23.started,image_23.stopped,waitEnd,text_41.started,text_41.stopped,key_resp_26.keys,key_resp_26.rt,key_resp_26.started,key_resp_26.stopped,text_42.started,text_42.stopped,text_51.started,text_51.stopped,recall_StartTime,recall_EndTime,image_18.started,image_18.stopped,text_69.started,text_69.stopped,recall_audio.filename,recall_audio.started,recall_audio.stopped,key_resp_25.keys,key_resp_25.rt,key_resp_25.started,key_resp_25.stopped,text_80.started,text_80.stopped,text_36.started,text_36.stopped,participant,sA,sB,lA,lB,block_struct,block,behavioral,random_seed,part,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[42 13 11 22 31 33 24 44],[3 3 1 2 4 2 4 1],13.093253898000512,None,space,0.8849387489999572,13.093253898000512,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,032822,0,3,1,2,1,1,0,32,2,2022_Mar_28_1103,recall_fmri,3.2.4,59.787431169482254,
3,,,,,0,0,0,0,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,14.00930718500058,None,equal,30.00022216600064,14.00930718500058,None,30.9313948730005,14.00930718500058,None,14.00930718500058,None,14.00930718500058,None,14.00930718500058,None,0.0007889219996286556,44.026879506000114,None,6.002820857999723,50.04295958900002,None,1,1.1396522609993553,50.04295958900002,None,50.04295958900002,None,50.04295958900002,None,7.18348160000005,111.73331792299996,51.29676284700054,None,51.29676284700054,None,/Users/columbiadpml/Documents/GitHub/ebs/fMRI experiment/psychopy code/data/032822_bk1_pt2_recall_fmri_wav/recall_audio-1648479872.285.wav,0.008842284400088829,None,1,104.43283295999936,51.29676284700054,None,51.29676284700054,None,,,032822,0,3,1,2,1,1,0,32,2,2022_Mar_28_1103,recall_fmri,3.2.4,59.787431169482254,
3,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111.73672771400015,155.75965821299997,None,117.73265261899996,,,,,,,,,,,,,,,,,,,,,,,,,,,,032822,0,3,1,2,1,1,0,32,2,2022_Mar_28_1103,recall_fmri,3.2.4,59.787431169482254,
4,,,,,0,0,0,0,0,1,1,1,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,161.75969202000033,None,1,1.2369913579996137,161.75969202000033,None,161.75969202000033,None,161.75969202000033,None,119.00024864199986,200.81711216499934,163.04330238300008,None,163.04330238300008,None,/Users/columbiadpml/Documents/GitHub/ebs/fMRI experiment/psychopy code/data/032822_bk1_pt2_recall_fmri_wav/recall_audio-1648479984.033.wav,0.010620939799991902,None,1,81.77531255899976,163.04330238300008,None,163.04330238300008,None,,,032822,0,3,1,2,1,1,0,32,2,2022_Mar_28_1103,recall_fmri,3.2.4,59.787431169482254,
4,,,,,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200.82062298599976,244.8439178840008,None,206.81583449299978,,,,,,,,,,,,,,,,,,,,,,,,,,,,032822,0,3,1,2,1,1,0,32,2,2022_Mar_28_1103,recall_fmri,3.2.4,59.787431169482254,
5,,,,,0,0,0,0,0,2,2,2,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,250.8432328300005,None,1,1.4214020640001763,250.8432328300005,None,250.8432328300005,None,250.8432328300005,None,208.2680609149993,291.69894409300014,252.3111718630007,None,252.3111718630007,None,/Users/columbiadpml/Documents/GitHub/ebs/fMRI experiment/psychopy code/data/032822_bk1_pt2_recall_fmri_wav/recall_audio-1648480073.301.wav,0.010508919800486183,None,1,83.38945967200016,252.3111718630007,None,252.3111718630007,None,,,032822,0,3,1,2,1,1,0,32,2,2022_Mar_28_1103,recall_fmri,3.2.4,59.787431169482254,
5,,,,,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,291.70316069,335.72689785700004,None,297.69873706399994,,,,,,,,,,,,,,,,,,,,,,,,,,,,032822,0,3,1,2,1,1,0,32,2,2022_Mar_28_1103,recall_fmri,3.2.4,59.787431169482254,
,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,032822,0,3,1,2,1,1,0,32,2,2022_Mar_28_1103,recall_fmri,3.2.4,59.787431169482254,
,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,341.7261181650001,None,032822,0,3,1,2,1,1,0,32,2,2022_Mar_28_1103,recall_fmri,3.2.4,59.787431169482254,
,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,342.22597000600035,342.22597000600035,032822,0,3,1,2,1,1,0,32,2,2022_Mar_28_1103,recall_fmri,3.2.4,59.787431169482254,
