count,behav_recall_instructions.thisRepN,behav_recall_instructions.thisTrialN,behav_recall_instructions.thisN,behav_recall_instructions.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_20.thisRepN,trials_20.thisTrialN,trials_20.thisN,trials_20.thisIndex,trials_18.thisRepN,trials_18.thisTrialN,trials_18.thisN,trials_18.thisIndex,trials_19.thisRepN,trials_19.thisTrialN,trials_19.thisN,trials_19.thisIndex,trials_8.thisRepN,trials_8.thisTrialN,trials_8.thisN,trials_8.thisIndex,story_list_block2,action_list_block2,text_76.started,text_76.stopped,key_resp_30.keys,key_resp_30.rt,key_resp_30.started,key_resp_30.stopped,textTrigger.started,textTrigger.stopped,getTrigger.keys,getTrigger.rt,getTrigger.started,getTrigger.stopped,triggerTime,text_77.started,text_77.stopped,text_78.started,text_78.stopped,waitStart,image_23.started,image_23.stopped,waitEnd,text_41.started,text_41.stopped,key_resp_26.keys,key_resp_26.rt,key_resp_26.started,key_resp_26.stopped,text_42.started,text_42.stopped,text_51.started,text_51.stopped,recall_StartTime,recall_EndTime,image_20.started,image_20.stopped,text_75.started,text_75.stopped,recall_audio_2.filename,recall_audio_2.started,recall_audio_2.stopped,key_resp_27.keys,key_resp_27.rt,key_resp_27.started,key_resp_27.stopped,text_79.started,text_79.stopped,text_36.started,text_36.stopped,participant,sA,sB,lA,lB,block_struct,block,behavioral,random_seed,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[41 43 23 14 34 21 12 32],[1 3 2 1 4 4 3 2],14.050351698999975,None,space,10.963929557000029,14.050351698999975,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,073021,0,3,1,2,1,2,0,32,2021_Jul_30_1317,recall_fmri,3.2.4,60.14435607768216,
0,,,,,,,,,0,0,0,0,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,25.04538900099999,None,equal,28.91976217199999,25.04538900099999,None,39.94086115699997,25.04538900099999,None,25.04538900099999,None,0.00039702699996269075,53.995629791000056,None,5.998735831999966,59.999031838000064,None,1,1.0420479839999643,59.999031838000064,None,59.999031838000064,None,59.999031838000064,None,7.07073289899995,78.63280983100003,61.17931041899999,None,61.17931041899999,None,/Users/columbiadpml/Documents/GitHub/ebs/fMRI experiment/psychopy code/data/073021_bk2_recall_fmri_wav/recall_audio_2-1627665499.138.wav,0.01259991999995691,None,2,71.4258327660001,61.17931041899999,None,61.17931041899999,None,,,073021,0,3,1,2,1,2,0,32,2021_Jul_30_1317,recall_fmri,3.2.4,60.14435607768216,
0,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.63614641200002,132.62869639300004,None,84.63299109699994,,,,,,,,,,,,,,,,,,,,,,,,,,,,073021,0,3,1,2,1,2,0,32,2021_Jul_30_1317,recall_fmri,3.2.4,60.14435607768216,
1,,,,,,,,,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.63639775299998,138.62873612700002,138.62873612700002,90.63326794600005,,,,,,,,,,,,,,,,,,,,,,,,,,,,073021,0,3,1,2,1,2,0,32,2021_Jul_30_1317,recall_fmri,3.2.4,60.14435607768216,
2,,,,,,,,,0,0,0,0,0,2,2,2,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,144.62914912999997,None,2,1.093026635000001,144.62914912999997,None,144.62914912999997,None,144.62914912999997,None,91.75339586500002,155.96537987399995,145.76216153400003,None,145.76216153400003,None,/Users/columbiadpml/Documents/GitHub/ebs/fMRI experiment/psychopy code/data/073021_bk2_recall_fmri_wav/recall_audio_2-1627665584.755.wav,0.010799949999977798,None,2,64.173872394,145.76216153400003,None,145.76216153400003,None,,,073021,0,3,1,2,1,2,0,32,2021_Jul_30_1317,recall_fmri,3.2.4,60.14435607768216,
2,,,,,,,,,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,155.96889126999997,209.962662078,None,161.96534325999994,,,,,,,,,,,,,,,,,,,,,,,,,,,,073021,0,3,1,2,1,2,0,32,2021_Jul_30_1317,recall_fmri,3.2.4,60.14435607768216,
3,,,,,,,,,0,0,0,0,0,3,3,3,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,215.96276067400004,None,2,0.8372686829999338,215.96276067400004,None,215.96276067400004,None,215.96276067400004,None,162.833227546,236.06539583899996,216.84566853900003,None,216.84566853900003,None,/Users/columbiadpml/Documents/GitHub/ebs/fMRI experiment/psychopy code/data/073021_bk2_recall_fmri_wav/recall_audio_2-1627665655.833.wav,0.012519466999947326,None,2,73.18531316399992,216.84566853900003,None,216.84566853900003,None,,,073021,0,3,1,2,1,2,0,32,2021_Jul_30_1317,recall_fmri,3.2.4,60.14435607768216,
3,,,,,,,,,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,236.06918116400004,290.0624096649999,None,242.06541420399992,,,,,,,,,,,,,,,,,,,,,,,,,,,,073021,0,3,1,2,1,2,0,32,2021_Jul_30_1317,recall_fmri,3.2.4,60.14435607768216,
4,,,,,,,,,0,0,0,0,0,4,4,4,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,296.0621728200001,None,2,0.6508559620001506,296.0621728200001,None,296.0621728200001,None,296.0621728200001,None,242.7499110330001,328.6823019310001,296.7626813679999,None,296.7626813679999,None,/Users/columbiadpml/Documents/GitHub/ebs/fMRI experiment/psychopy code/data/073021_bk2_recall_fmri_wav/recall_audio_2-1627665735.748.wav,0.014908574000173758,None,2,85.89646448999997,296.7626813679999,None,296.7626813679999,None,,,073021,0,3,1,2,1,2,0,32,2021_Jul_30_1317,recall_fmri,3.2.4,60.14435607768216,
4,,,,,,,,,0,0,0,0,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,328.685898352,382.678949203,None,334.682291385,,,,,,,,,,,,,,,,,,,,,,,,,,,,073021,0,3,1,2,1,2,0,32,2021_Jul_30_1317,recall_fmri,3.2.4,60.14435607768216,
5,,,,,,,,,0,0,0,0,0,5,5,5,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,388.6791964199999,None,2,0.6759465059999457,388.6791964199999,None,388.6791964199999,None,388.6791964199999,None,335.3837266060001,396.21594829799994,389.39573988300003,None,389.39573988300003,None,/Users/columbiadpml/Documents/GitHub/ebs/fMRI experiment/psychopy code/data/073021_bk2_recall_fmri_wav/recall_audio_2-1627665827.384.wav,0.011888795999993818,None,2,60.78826591500001,389.39573988300003,None,389.39573988300003,None,,,073021,0,3,1,2,1,2,0,32,2021_Jul_30_1317,recall_fmri,3.2.4,60.14435607768216,
5,,,,,,,,,0,0,0,0,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,396.220213597,450.21186778800006,None,402.21609732600007,,,,,,,,,,,,,,,,,,,,,,,,,,,,073021,0,3,1,2,1,2,0,32,2021_Jul_30_1317,recall_fmri,3.2.4,60.14435607768216,
6,,,,,,,,,0,0,0,0,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,402.21979111400003,456.212043818,456.212043818,408.21619565000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,073021,0,3,1,2,1,2,0,32,2021_Jul_30_1317,recall_fmri,3.2.4,60.14435607768216,
