count,behav_recall_instructions.thisRepN,behav_recall_instructions.thisTrialN,behav_recall_instructions.thisN,behav_recall_instructions.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_20.thisRepN,trials_20.thisTrialN,trials_20.thisN,trials_20.thisIndex,trials_18.thisRepN,trials_18.thisTrialN,trials_18.thisN,trials_18.thisIndex,trials_19.thisRepN,trials_19.thisTrialN,trials_19.thisN,trials_19.thisIndex,story_list_block2,action_list_block2,text_76.started,text_76.stopped,key_resp_30.keys,key_resp_30.rt,key_resp_30.started,key_resp_30.stopped,textTrigger.started,textTrigger.stopped,getTrigger.keys,getTrigger.rt,getTrigger.started,getTrigger.stopped,triggerTime,text_77.started,text_77.stopped,text_78.started,text_78.stopped,waitStart,image_23.started,image_23.stopped,waitEnd,text_41.started,text_41.stopped,key_resp_26.keys,key_resp_26.rt,key_resp_26.started,key_resp_26.stopped,text_42.started,text_42.stopped,text_51.started,text_51.stopped,recall_StartTime,recall_EndTime,image_20.started,image_20.stopped,text_75.started,text_75.stopped,recall_audio_2.filename,recall_audio_2.started,recall_audio_2.stopped,key_resp_27.keys,key_resp_27.rt,key_resp_27.started,key_resp_27.stopped,text_79.started,text_79.stopped,participant,sA,sB,lA,lB,block_struct,block,behavioral,random_seed,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,[13 31 24 11 22 44 42 33],[3 4 2 1 4 3 1 2],11.255463897000000,None,space,0.9368515639998810,11.255463897000000,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92021,0,3,2,3,0,2,0,18,2021_Sep_20_1059,recall_fmri,3.2.4,60.059178110011000,
0,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,12.221524919000100,None,equal,25.69195486500010,12.221524919000100,None,26.682423997000100,12.221524919000100,None,12.221524919000100,None,6.0110560359999,43.95538357300010,43.95538357300010,12.015196838999800,,,,,,,,,,,,,,,,,,,,,,,,,,92021,0,3,2,3,0,2,0,18,2021_Sep_20_1059,recall_fmri,3.2.4,60.059178110011000,
1,,,,,,,,,0,0,0,0,0,1,1,1,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,49.955072467000000,None,2,1.2913785449998200,49.955072467000000,None,49.955072467000000,None,49.955072467000000,None,13.333617292999900,180.6825027380000,51.37168646500000,None,51.37168646500000,None,/Users/columbiadpml/Documents/GitHub/ebs/fMRI experiment/psychopy code/data/092021_bk2_recall_fmri_wav/recall_audio_2-1632150041.346.wav,0.009736831799955330,None,3,167.2197767190000,51.37168646500000,None,51.37168646500000,None,92021,0,3,2,3,0,2,0,18,2021_Sep_20_1059,recall_fmri,3.2.4,60.059178110011000,
1,,,,,,,,,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,180.68560372800000,218.62156303900000,None,186.68232924200000,,,,,,,,,,,,,,,,,,,,,,,,,,92021,0,3,2,3,0,2,0,18,2021_Sep_20_1059,recall_fmri,3.2.4,60.059178110011000,
2,,,,,,,,,0,0,0,0,0,2,2,2,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,224.62273946200000,None,2,1.2688444049999800,224.62273946200000,None,224.62273946200000,None,224.62273946200000,None,187.98435903700000,356.050287263,225.93945449900000,None,225.93945449900000,None,/Users/columbiadpml/Documents/GitHub/ebs/fMRI experiment/psychopy code/data/092021_bk2_recall_fmri_wav/recall_audio_2-1632150216.928.wav,0.011391499599994900,None,1,168.02300563000000,225.93945449900000,None,225.93945449900000,None,92021,0,3,2,3,0,2,0,18,2021_Sep_20_1059,recall_fmri,3.2.4,60.059178110011000,
2,,,,,,,,,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,356.0536749570000,393.98878378200000,None,362.0501325000000,,,,,,,,,,,,,,,,,,,,,,,,,,92021,0,3,2,3,0,2,0,18,2021_Sep_20_1059,recall_fmri,3.2.4,60.059178110011000,
3,,,,,,,,,0,0,0,0,0,3,3,3,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,399.9889685810000,None,7,1.3876377750000300,399.9889685810000,None,399.9889685810000,None,399.9889685810000,None,363.4675756120000,566.2164927080000,401.421944402,None,401.421944402,None,/Users/columbiadpml/Documents/GitHub/ebs/fMRI experiment/psychopy code/data/092021_bk2_recall_fmri_wav/recall_audio_2-1632150391.411.wav,0.01117310859990540,None,3,202.7164768990000,401.421944402,None,401.421944402,None,92021,0,3,2,3,0,2,0,18,2021_Sep_20_1059,recall_fmri,3.2.4,60.059178110011000,
3,,,,,,,,,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,566.2208999510000,604.1560159980000,None,572.2162934810000,,,,,,,,,,,,,,,,,,,,,,,,,,92021,0,3,2,3,0,2,0,18,2021_Sep_20_1059,recall_fmri,3.2.4,60.059178110011000,
4,,,,,,,,,0,0,0,0,0,4,4,4,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,610.156126803,None,7,0.8693693699999590,610.156126803,None,610.156126803,None,610.156126803,None,573.117770199,707.8342967030000,611.0728204670000,None,611.0728204670000,None,/Users/columbiadpml/Documents/GitHub/ebs/fMRI experiment/psychopy code/data/092021_bk2_recall_fmri_wav/recall_audio_2-1632150601.061.wav,0.011560900600216000,None,3,134.68360454800000,611.0728204670000,None,611.0728204670000,None,92021,0,3,2,3,0,2,0,18,2021_Sep_20_1059,recall_fmri,3.2.4,60.059178110011000,
4,,,,,,,,,0,0,0,0,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,707.8382145000000,745.7787615690000,None,713.8558566520000,,,,,,,,,,,,,,,,,,,,,,,,,,92021,0,3,2,3,0,2,0,18,2021_Sep_20_1059,recall_fmri,3.2.4,60.059178110011000,
5,,,,,,,,,0,0,0,0,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,713.8589101180000,751.789770763,None,719.8502872540000,,,,,,,,,,,,,,,,,,,,,,,,,,92021,0,3,2,3,0,2,0,18,2021_Sep_20_1059,recall_fmri,3.2.4,60.059178110011000,
6,,,,,,,,,0,0,0,0,0,6,6,6,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,757.78916458,None,7,0.9954308760000000,757.78916458,None,757.78916458,None,757.78916458,None,720.8687379540000,879.250640838,758.823300736,None,758.823300736,None,/Users/columbiadpml/Documents/GitHub/ebs/fMRI experiment/psychopy code/data/092021_bk2_recall_fmri_wav/recall_audio_2-1632150748.813.wav,0.01123512760000270,None,2,158.33313836800000,758.823300736,None,758.823300736,None,92021,0,3,2,3,0,2,0,18,2021_Sep_20_1059,recall_fmri,3.2.4,60.059178110011000,
