count,behav_recall_instructions.thisRepN,behav_recall_instructions.thisTrialN,behav_recall_instructions.thisN,behav_recall_instructions.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_13.thisRepN,trials_13.thisTrialN,trials_13.thisN,trials_13.thisIndex,trials_17.thisRepN,trials_17.thisTrialN,trials_17.thisN,trials_17.thisIndex,story_list_block1,action_list_block1,text_76.started,text_76.stopped,key_resp_30.keys,key_resp_30.rt,key_resp_30.started,key_resp_30.stopped,textTrigger.started,textTrigger.stopped,getTrigger.keys,getTrigger.rt,getTrigger.started,getTrigger.stopped,triggerTime,text_77.started,text_77.stopped,text_78.started,text_78.stopped,waitStart,image_23.started,image_23.stopped,waitEnd,text_41.started,text_41.stopped,key_resp_26.keys,key_resp_26.rt,key_resp_26.started,key_resp_26.stopped,text_42.started,text_42.stopped,text_51.started,text_51.stopped,recall_StartTime,recall_EndTime,image_18.started,image_18.stopped,text_69.started,text_69.stopped,recall_audio.filename,recall_audio.started,recall_audio.stopped,key_resp_25.keys,key_resp_25.rt,key_resp_25.started,key_resp_25.stopped,text_80.started,text_80.stopped,participant,sA,sB,lA,lB,block_struct,block,behavioral,random_seed,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,[34 41 43 21 14 32 12 23],[4 3 3 2 1 4 1 2],9.544378049999980,None,space,7.2281123570001,9.544378049999980,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100621,0,3,0,2,0,1,0,14,2021_Oct_06_1504,recall_fmri,3.2.4,60.23196969841930,
0,,,,,0,0,0,0,0,0,0,0,,,,,0,0,0,0,,,,,,,,,16.793480703999900,None,equal,32.751033796,16.793480703999900,None,40.01610153699990,16.793480703999900,None,16.793480703999900,None,0.0003628239999216020,49.5605148919999,None,5.998294893000090,55.560535011999900,None,space,20.377037675999900,55.560535011999900,None,55.560535011999900,None,55.560535011999900,None,26.40053712000010,26.898571505000100,76.0442521089999,None,76.0442521089999,None,/Users/columbiadpml/Documents/GitHub/ebs/fMRI experiment/psychopy code/data/100621_bk1_recall_fmri_wav/recall_audio-1633547154.020.wav,0.008887183499837190,None,space,0.3941815369998950,76.0442521089999,None,76.0442521089999,None,100621,0,3,0,2,0,1,0,14,2021_Oct_06_1504,recall_fmri,3.2.4,60.23196969841930,
0,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.901070641999900,76.46121168599980,None,32.89910035999990,,,,,,,,,,,,,,,,,,,,,,,,,,100621,0,3,0,2,0,1,0,14,2021_Oct_06_1504,recall_fmri,3.2.4,60.23196969841930,
1,,,,,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.901831823000100,82.4613749409998,82.4613749409998,38.91547590999990,,,,,,,,,,,,,,,,,,,,,,,,,,100621,0,3,0,2,0,1,0,14,2021_Oct_06_1504,recall_fmri,3.2.4,60.23196969841930,
2,,,,,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.91760664700000,88.47730718700000,None,44.91546370900010,,,,,,,,,,,,,,,,,,,,,,,,,,100621,0,3,0,2,0,1,0,14,2021_Oct_06_1504,recall_fmri,3.2.4,60.23196969841930,
3,,,,,0,0,0,0,0,3,3,3,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,94.4777327889999,None,space,1.1864435089999000,94.4777327889999,None,94.4777327889999,None,94.4777327889999,None,46.13243079099990,46.682091519000100,95.71101234100000,None,95.71101234100000,None,/Users/columbiadpml/Documents/GitHub/ebs/fMRI experiment/psychopy code/data/100621_bk1_recall_fmri_wav/recall_audio-1633547174.694.wav,0.016417314800037300,None,space,0.5125631430000790,95.71101234100000,None,95.71101234100000,None,100621,0,3,0,2,0,1,0,14,2021_Oct_06_1504,recall_fmri,3.2.4,60.23196969841930,
3,,,,,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.68511833400000,96.24481265700000,None,52.68214401799990,,,,,,,,,,,,,,,,,,,,,,,,,,100621,0,3,0,2,0,1,0,14,2021_Oct_06_1504,recall_fmri,3.2.4,60.23196969841930,
4,,,,,0,0,0,0,0,4,4,4,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,102.24392150700000,None,space,0.5411257010000550,102.24392150700000,None,102.24392150700000,None,102.24392150700000,None,53.249722152000000,54.215099979000100,102.8276805230000,None,102.8276805230000,None,/Users/columbiadpml/Documents/GitHub/ebs/fMRI experiment/psychopy code/data/100621_bk1_recall_fmri_wav/recall_audio-1633547181.813.wav,0.014207364800086000,None,space,0.9301253270000420,102.8276805230000,None,102.8276805230000,None,100621,0,3,0,2,0,1,0,14,2021_Oct_06_1504,recall_fmri,3.2.4,60.23196969841930,
4,,,,,0,0,0,0,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.218440281000100,103.77728504700000,None,60.21565592100000,,,,,,,,,,,,,,,,,,,,,,,,,,100621,0,3,0,2,0,1,0,14,2021_Oct_06_1504,recall_fmri,3.2.4,60.23196969841930,
5,,,,,0,0,0,0,0,5,5,5,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,109.77782594000000,None,2,4.990811563000080,109.77782594000000,None,109.77782594000000,None,109.77782594000000,None,65.23324937700000,404.01624311,114.81135027700000,None,114.81135027700000,None,/Users/columbiadpml/Documents/GitHub/ebs/fMRI experiment/psychopy code/data/100621_bk1_recall_fmri_wav/recall_audio-1633547193.799.wav,0.01266283879999720,None,2,338.738145242,114.81135027700000,None,114.81135027700000,None,100621,0,3,0,2,0,1,0,14,2021_Oct_06_1504,recall_fmri,3.2.4,60.23196969841930,
