instructions,count,audio,trials_14.thisRepN,trials_14.thisTrialN,trials_14.thisN,trials_14.thisIndex,trials_13.thisRepN,trials_13.thisTrialN,trials_13.thisN,trials_13.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,Block1.thisRepN,Block1.thisTrialN,Block1.thisN,Block1.thisIndex,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_7.thisRepN,trials_7.thisTrialN,trials_7.thisN,trials_7.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_22.thisRepN,trials_22.thisTrialN,trials_22.thisN,trials_22.thisIndex,trials_16.thisRepN,trials_16.thisTrialN,trials_16.thisN,trials_16.thisIndex,trials_23.thisRepN,trials_23.thisTrialN,trials_23.thisN,trials_23.thisIndex,story_list_block1,action_list_block1,key_resp_5.keys,key_resp_5.rt,key_resp_5.started,key_resp_5.stopped,text_87.started,text_87.stopped,text_88.started,text_88.stopped,key_resp_31.keys,key_resp_31.rt,key_resp_31.started,key_resp_31.stopped,text_89.started,text_89.stopped,image_27.started,image_27.stopped,text_97.started,text_97.stopped,image_24.started,image_24.stopped,key_resp_21.keys,key_resp_21.rt,key_resp_21.started,key_resp_21.stopped,text_78.started,text_78.stopped,text_96.started,text_96.stopped,image_28.started,image_28.stopped,key_resp_36.keys,key_resp_36.rt,key_resp_36.started,key_resp_36.stopped,text_94.started,text_94.stopped,text_95.started,text_95.stopped,text_90.started,text_90.stopped,key_resp_32.keys,key_resp_32.rt,key_resp_32.started,key_resp_32.stopped,text_91.started,text_91.stopped,key_resp_33.keys,key_resp_33.rt,key_resp_33.started,key_resp_33.stopped,text_92.started,text_92.stopped,key_resp_34.keys,key_resp_34.rt,key_resp_34.started,key_resp_34.stopped,text_93.started,text_93.stopped,key_resp_35.keys,key_resp_35.rt,key_resp_35.started,key_resp_35.stopped,text_98.started,text_98.stopped,text_99.started,text_99.stopped,key_resp_37.keys,key_resp_37.rt,key_resp_37.started,key_resp_37.stopped,textTrigger.started,textTrigger.stopped,getTrigger.keys,getTrigger.rt,getTrigger.started,getTrigger.stopped,triggerTime,text_76.started,text_76.stopped,text_77.started,text_77.stopped,startWait,endWait,image_23.started,image_23.stopped,text_38.started,text_38.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.started,key_resp_8.stopped,text_39.started,text_39.stopped,text.started,text.stopped,text_33.started,text_33.stopped,key_resp_30.keys,key_resp_30.rt,key_resp_30.started,key_resp_30.stopped,text_79.started,text_79.stopped,text_4.started,text_4.stopped,image.started,image.stopped,text_5.started,text_5.stopped,key_resp_22.keys,key_resp_22.rt,key_resp_22.started,key_resp_22.stopped,text_37.started,text_37.stopped,key_resp_7.keys,key_resp_7.rt,key_resp_7.started,key_resp_7.stopped,text_80.started,text_80.stopped,question1_3.started,question1_3.stopped,question2_3.started,question2_3.stopped,question3_3.started,question3_3.stopped,question4_3.started,question4_3.stopped,question5_3.started,question5_3.stopped,question6_3.started,question6_3.stopped,image_16.started,image_16.stopped,text_49.started,text_49.stopped,key_resp_15.keys,key_resp_15.rt,key_resp_15.started,key_resp_15.stopped,text_81.started,text_81.stopped,text_50.started,text_50.stopped,key_resp_14.keys,key_resp_14.rt,key_resp_14.started,key_resp_14.stopped,storyImage_StartTime,storyImage_EndTime,clip_StartTime,clip_EndTime,text_6.started,text_6.stopped,text_52.started,text_52.stopped,participant,sA,sB,lA,lB,block_struct,play_stories,block,behavioral,random_seed,date,expName,psychopyVersion,frameRate,
Welcome to the story listening part of the experiment. ,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[24 13 22 11 31 42 44 33],[2 1 4 3 2 1 3 4],6,40.51579525499983,13.738187589000063,None,13.738187589000063,None,13.738187589000063,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110821,0,3,0,3,1,1,1,0,30,2021_Nov_08_1108,listening_fmri,3.2.4,60.089069908156056,
"As a reminder, you will listen to 12 short stories.",,,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2.4366563129997303,54.288464029999886,None,54.288464029999886,None,54.288464029999886,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110821,0,3,0,3,1,1,1,0,30,2021_Nov_08_1108,listening_fmri,3.2.4,60.089069908156056,
These stories will be divided into 2 blocks of 6 stories.,,,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,4.796168238000064,56.75497356200003,None,56.75497356200003,None,56.75497356200003,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110821,0,3,0,3,1,1,1,0,30,2021_Nov_08_1108,listening_fmri,3.2.4,60.089069908156056,
"Before some of the stories, we will ask you to take on the perspective of a job. ",,,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5.5747071690002485,61.57442277000018,None,61.57442277000018,None,61.57442277000018,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110821,0,3,0,3,1,1,1,0,30,2021_Nov_08_1108,listening_fmri,3.2.4,60.089069908156056,
Please “simulate” this job while you listen to the story that follows.,,,0,0,0,0,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3.873271901999942,67.18882642300014,None,67.18882642300014,None,67.18882642300014,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110821,0,3,0,3,1,1,1,0,30,2021_Nov_08_1108,listening_fmri,3.2.4,60.089069908156056,
"Before you begin, we will go over how to use the button box:",,,0,0,0,0,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3.258951739999702,71.09107134500027,None,71.09107134500027,None,71.09107134500027,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110821,0,3,0,3,1,1,1,0,30,2021_Nov_08_1108,listening_fmri,3.2.4,60.089069908156056,
"In this experiment, you'll use the first three fingers on each hand to do the quizzes and advance through the experiment. ",,,0,0,0,0,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,6.229231904999779,74.388888812,None,74.388888812,None,74.388888812,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110821,0,3,0,3,1,1,1,0,30,2021_Nov_08_1108,listening_fmri,3.2.4,60.089069908156056,
,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,4.6198285519999445,80.63930999000013,None,80.63930999000013,None,80.63930999000013,None,80.63930999000013,None,85.2883009420002,None,3,3.3577213940002366,85.2883009420002,None,85.2883009420002,None,85.2883009420002,None,85.2883009420002,None,4,5.030542940000032,88.67146949500011,None,88.67146949500011,None,88.67146949500011,None,93.72240845500028,None,1,79.04369358099984,93.72240845500028,None,172.78872348599998,None,8,2.0043376829999033,172.78872348599998,None,174.8219358639999,None,6,1.6711676180002542,174.8219358639999,None,176.52230666600008,None,2,1.6108216640000137,176.52230666600008,None,178.15529083399997,None,178.15529083399997,None,2,2.5527064929997323,178.15529083399997,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110821,0,3,0,3,1,1,1,0,30,2021_Nov_08_1108,listening_fmri,3.2.4,60.089069908156056,
,0,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,180.73851122099995,None,equal,34.6306297809997,180.73851122099995,None,201.66087141900016,180.73851122099995,None,180.73851122099995,None,0.00042598499976520543,5.998629698000059,215.3890012259999,None,221.38817959400012,None,7,2.4439415880001434,221.38817959400012,None,221.38817959400012,None,221.38817959400012,None,223.85528371100008,None,7,1.9986629330001051,223.85528371100008,None,223.85528371100008,None,225.88879115500004,None,225.88879115500004,None,225.88879115500004,None,7,3.259338254999875,225.88879115500004,None,229.17252889400015,None,7,2.8355102939999597,229.17252889400015,None,229.17252889400015,None,232.12185900500026,None,232.12185900500026,None,232.12185900500026,None,232.12185900500026,None,232.12185900500026,None,232.12185900500026,None,232.12185900500026,None,,,,,,,,,,,,,,,,,,,,,,,110821,0,3,0,3,1,1,1,0,30,2021_Nov_08_1108,listening_fmri,3.2.4,60.089069908156056,
,0,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,251.57217316200013,None,251.57217316200013,None,251.57217316200013,None,8,0.8399445239997476,251.57217316200013,None,252.43931958200028,None,8,0.759687715000382,252.43931958200028,None,252.43931958200028,None,253.30562776099987,None,253.30562776099987,None,253.30562776099987,None,253.30562776099987,None,253.30562776099987,None,253.30562776099987,None,253.30562776099987,None,,,,,,,,,,,,,,,,,,,,,,,110821,0,3,0,3,1,1,1,0,30,2021_Nov_08_1108,listening_fmri,3.2.4,60.089069908156056,
,0,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,274.75530481700025,None,274.75530481700025,None,274.75530481700025,None,7,0.9748121480001828,274.75530481700025,None,,,,,,,,,,,,,,,,,,,,,,,273.138891953,None,7,1.5782376319998548,273.138891953,None,273.138891953,None,,,,,,,,,,,,,,,110821,0,3,0,3,1,1,1,0,30,2021_Nov_08_1108,listening_fmri,3.2.4,60.089069908156056,
,0,parcelated_audio/24/24_1.ogg,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,275.75429115299994,None,1,9.499659334000171,275.75429115299994,None,69.91124363600011,72.91511606699987,72.92025053599991,83.34895857399988,,,,,110821,0,3,0,3,1,1,1,0,30,2021_Nov_08_1108,listening_fmri,3.2.4,60.089069908156056,
,0,parcelated_audio/24/24_2.ogg,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.3493185809998,89.66293645399992,,,,,110821,0,3,0,3,1,1,1,0,30,2021_Nov_08_1108,listening_fmri,3.2.4,60.089069908156056,
,0,parcelated_audio/24/24_3.ogg,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.66335751999986,101.24410910699999,,,,,110821,0,3,0,3,1,1,1,0,30,2021_Nov_08_1108,listening_fmri,3.2.4,60.089069908156056,
,0,parcelated_audio/24/24_4.ogg,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.2444637210001,108.13709401300002,,,,,110821,0,3,0,3,1,1,1,0,30,2021_Nov_08_1108,listening_fmri,3.2.4,60.089069908156056,
