sentence_number,storyText,locationEvent,socialEvent,socialAnswer,locationAnswer,story
1,"A bell chimed as the door swung open, and Sadie entered to find Thomas, who was dreading the approaching breakup conversation he was about to start, ruminating at the bar.",1,1,,,11
2,Thomas had been thinking about breaking up with her for 2 months now.,1,1,1,,
3,The restaurant he had chosen to meet at was reminiscent of a diner from the 70’s.,1,1,,1,
4,"There was black and white checkerboard tiling on the floor, a long bar in the front, and booths and stools with red, leather upholstery. ",1,1,,,
5,"Thomas stood up and gave Sadie a side hug, asking quickly, “How was your day?”",1,1,,,
6,"She clung onto him, “It was okay- I missed you today.”",1,1,,,
7,"He looked away and addressed the hostess coming towards them, “Can we have a booth in the back?”",1,1,,,
8,"She shrugged and after loudly popping her bubblegum replied, “Sure, honey.”",1,1,,,
9,The hostess seated them at a booth in the back corner of the diner.  ,2,1,,,
10,Sadie slipped into the cushioned seat and grabbed Thomas’ hand.,2,1,,,
11,“Tell me about your day!” she sang.,2,1,,,
12,Thomas looked away and took a deep breath. ,2,1,,,
13,"Sadie asked, “What’s wrong?” ",2,1,,,
14,Thomas picked at his fingernails.,2,1,,,
15,"After a few moments, Thomas let out a deep breath and said, “Sadie, I’ve been thinking, and I need a break from this relationship because I need to figure out my career path on my own.”",2,2,2,,
16,Sadie sat back in her seat.,2,2,,,
17,"Thomas continued, “Things have been really picking up at work, and I’m not sure that this is the job I want to do anymore.",2,2,,,
18,"Plus, it’s been really overwhelming between working and figuring out if I should change careers, and I really feel like I need more time to figure it out.” ",2,2,,,
19,"The waiter appeared and cheerily asked, “Have you decided what you would like?”",3,2,,,
20,"Thomas and Sadie realized there were menus on the table, and they glanced at them quickly.",3,2,,,
21,"The menus were laminated posters with silly names for all the foods, and since they didn’t want to read through each item description, they settled on familiar orders.",3,2,,2,
22,"“I’ll have a burger, no tomatoes,” Thomas said.",3,2,,,
23,"Sadie quickly asked about the reuben, and the waiter told her it was excellent.",3,2,,3,
24,"Confirming that that was all they’d like, the waiter walked away. ",3,2,,,
25,Sadie- not so quietly- burst into tears. ,3,3,3,,
26,People sitting at the bar looked over and quickly averted their gaze when they figured what was happening. ,3,3,,,
27,"She whispered, “Is this really what you want?",3,3,,,
28,"I don’t understand- things were fine, I thought. ",3,3,,,
29,I think we should stay together because we can change how much we hang out. ,3,3,,,
30,"We don’t have to hang out all the time, or as much as we do now.”",3,3,,,
31,Thomas chewed on his bottom lip and picked at his now bleeding hangnail. ,3,3,,,
32,The waiter appeared with the burger and reuben and set them in front of them.,4,3,,,
33,“Is there anything else I can get for you two?,4,3,,,
34,Will you be getting dessert tonight?” he asked.,4,3,,,
35,"“Oh no, we’re good, thanks,” said Thomas blankly.",4,3,,,
36,"With the waiter gone, Sadie suddenly stood up, grabbed half of the reuben, and shook it at him as she growled, “Don’t follow me, and don’t talk to me anymore!",4,4,,,
37,"Also, I want my polaroid camera and Beatles poster back!”",4,4,4,,
38,"She stormed off, and the bell above the door jingled cheerfully as the door closed behind her.",4,4,,,
39,Thomas sat there for awhile surprised at how quickly everything had transpired. ,4,4,,,
40,"He grabbed his burger and took a bite of it, which created a dry and fishy taste in his mouth.",4,4,,4,
41,He dropped it back on his plate and wondered if the restaurant was responsible for the foul taste. ,4,4,,,
