sentence_number,storyText,locationEvent,socialEvent,story,socialAnswer,locationAnswer
1,"Alex was a distracted, sweaty mess as he walked into the grocery store with Chloe, and he was hoping that she wouldn't suspect that he was about to propose.",1,1,23,,
2,The grocery store was brightly lit with sunshine pouring in through glass walls at the front of the store.,1,1,,,1
3,Also in the front area were large posters advertising thanksgiving promotions.,1,1,,,
4,"The store was buzzing with activity because the next day was Thanksgivin, and most shoppers had carts piled high with turkey, stuffing, and pies.",1,1,,,
5,Alex wanted to propose here because he knew Chloe would be wonderfully surprised. ,1,1,,,
6,"After 23 months of dating, Alex knew one of the things Chloe loved most was surprises. ",1,1,,1,
7,"Chloe perused the canned goods aisle, and said, “Alex, we need a couple things.”",2,1,,,
8,"He didn’t hear her and was fanning himself, and Chloe asked him if he was okay.",2,1,,,
9,"“Oh yeah, for sure,” he said, unconvincingly. ",2,1,,,
10,"She chuckled, “Alright, whatever you say.” ",2,1,,,
11,She had a can of pumpkin puree and a bottle of vinegar picked out and was now mulling over the different cans of cranberry sauce.,2,1,,,2
12,"Alex was guessing she would be a while, so he turned his back to her and pulled out the ring to look at it one more time. ",2,2,,,
13,The ring consisted of a thin band with one white diamond that glittered excessively in the light. ,2,2,,2,
14,“Do we need anything else?” she called out to him. ,2,2,,,
15,"“Yeah I don’t know, honey,” he said, still looking at the ring. ",2,2,,,
16,"In the checkout area, there were 5 aisles open, and they stepped in line for station 3. ",3,2,,,3
17,Alex was staring intensely off into the distance for most of the time and fidgeting with his wallet. ,3,2,,,
18,"Chloe watched him trying to decide whether he looked more scared or confused, and shrugged, pulling out her phone since she figured he’d talk about whatever was on his mind when he was ready. ",3,2,,,
19,Alex looked over at their friends who were waiting by the entrance of the grocery store.,3,2,,,
20,They walked over slowly. ,3,2,,,
21,"Seemingly out of nowhere, Alex took Chloe’s hand and he got down on one knee, and asked, “Will you marry me?”",3,3,,,
22,Chloe gasped with delight.,3,3,,,
23,"“Chloe, I love you so much, and I want to be with you forever.",3,3,,,
24,I can’t imagine a day without you.”,3,3,,,
25,"The ring was in the crevice of his wallet, and he opened it.",3,3,,3,
26,"The people in line around them realized what was happening, stepped back, and started taking pictures.",3,3,,,
27,Their friends were no longer trying to hide and were videotaping and taking pictures too. ,3,3,,,
28,"After a few moments of suspense she shouted,“Yes!”, and she jumped to embrace Alex in a hug. ",3,4,,,
29,Everyone in line clapped and cheered. ,3,4,,,
30,"Alex put the ring on Chloe’s finger, who was nearly spinning in excitement.",3,4,,,
31,“I love it!,3,4,,,
32,Oh my- it’s so glittery!,3,4,,,
33,Look at this!” she said as she shoved her hand in a stranger’s face.,3,4,,,
34,Their friends came over and hugged them.,3,4,,,
35,The other people let them move up to the front of the checkout line. ,3,4,,,
36,Chloe immediately texted her mom a picture of her hand. ,3,4,,4,
37,The cashier congratulated them and scanned their groceries. ,4,4,,,
38,"The total came to $14, and Alex paid in cash while Chloe greeted their friends.",4,4,,,4
39,"Alex grabbed the bags, and they all walked out together working out where they’d go to celebrate.  ",4,4,,,
